,,Ages 16+,,,,,,,,Ages 16-29,,,,,,,,Ages 30-49,,,,,,,,Ages 50+,,,,,,,
MSA,FIPS,16+_2019_metro_rank,16+_2019_metro_perc,16+_2000_metro_perc,16+_2019_dollars_women,16+_2019_dollars_men,16+_2000_dollars_women,16+_2000_dollars_men,16+_map_change,16_29_2019_metro_rank,16_29_2019_metro_perc,16_29_2000_metro_perc,16_29_2019_dollars_women,16_29_2019_dollars_men,16_29_2000_dollars_women,16_29_2000_dollars_men,16_29_map_change,30_49_2019_metro_rank,30_49_2019_metro_perc,30_49_2000_metro_perc,30_49_2019_dollars_women,30_49_2019_dollars_men,30_49_2000_dollars_women,30_49_2000_dollars_men,30_49_map_change,50+_2019_metro_rank,50+_2019_metro_perc,50+_2000_metro_perc,50+_2019_dollars_women,50+_2019_dollars_men,50+_2000_dollars_women,50+_2000_dollars_men,50+_map_change
"Austin-Round Rock, TX",12420,64,84%,81%,"$46,932","$55,996","$46,024","$56,952",-0.03,54,95%,96%,"$34,531","$36,503","$36,942","$38,481",0.01,94,83%,79%,"$50,906","$61,087","$48,640","$61,570",-0.04,114,75%,68%,"$51,138","$68,183","$46,177","$67,727",-0.07
"Bakersfield, CA",12540,113,82%,66%,"$36,690","$45,000","$38,481","$58,491",-0.16,193,84%,73%,"$25,569","$30,544","$27,706","$38,173",-0.11,123,81%,68%,"$40,484","$50,000","$43,099","$63,109",-0.13,128,75%,64%,"$44,319","$59,351","$44,484","$69,266",-0.10
"Baltimore-Columbia-Towson, MD",12580,80,83%,78%,"$53,955","$64,746","$47,717","$61,570",-0.06,69,94%,93%,"$36,503","$38,848","$38,481","$41,560",-0.01,54,85%,76%,"$59,660","$69,877","$50,026","$66,188",-0.10,115,75%,67%,"$60,000","$80,000","$49,410","$73,884",-0.08
"Bangor, ME",12620,9,91%,70%,"$41,717","$45,811","$35,403","$50,795",-0.21,208,82%,81%,"$26,634","$32,373","$28,630","$35,403",-0.01,10,92%,70%,"$45,815","$49,639","$37,712","$53,874",-0.22,23,83%,62%,"$43,803","$52,942","$37,865","$61,570",-0.21
"Barnstable Town, MA",12700,27,87%,75%,"$52,147","$60,000","$46,177","$61,570",-0.12,3,112%,85%,"$36,652","$32,580","$33,863","$40,020",-0.28,38,86%,75%,"$52,736","$61,087","$46,177","$61,570",-0.11,40,80%,73%,"$60,430","$75,091","$50,795","$69,266",-0.07
"Baton Rouge, LA",12940,245,67%,65%,"$38,688","$57,361","$36,788","$56,952",-0.03,243,75%,76%,"$26,978","$36,190","$29,246","$38,635",0.01,242,68%,63%,"$41,717","$61,087","$38,481","$61,570",-0.06,244,61%,58%,"$42,615","$69,877","$38,481","$66,803",-0.03
"Beaumont-Port Arthur, TX",13140,236,71%,67%,"$37,769","$53,268","$36,942","$55,413",-0.04,249,68%,72%,"$25,899","$38,353","$27,706","$38,481",0.04,213,75%,63%,"$41,717","$55,399","$38,481","$61,570",-0.13,241,63%,54%,"$40,000","$63,922","$38,481","$70,805",-0.08
"Bellingham, WA",13380,228,74%,71%,"$40,484","$55,000","$40,020","$56,183",-0.02,229,80%,83%,"$28,000","$35,000","$30,785","$36,942",0.03,227,73%,72%,"$44,745","$61,087","$43,099","$60,031",-0.01,229,66%,66%,"$46,000","$69,232","$48,025","$72,960",-0.01
"Binghamton, NY",13780,117,81%,71%,"$40,725","$50,000","$37,404","$52,334",-0.10,140,89%,93%,"$28,765","$32,373","$28,476","$30,785",0.04,62,85%,72%,"$43,164","$50,906","$39,097","$54,028",-0.12,50,80%,60%,"$44,797","$56,319","$38,481","$64,648",-0.20
"Birmingham-Hoover, AL",13820,192,77%,74%,"$41,006","$53,268","$40,790","$55,413",-0.03,91,93%,88%,"$30,000","$32,331","$33,863","$38,481",-0.05,189,77%,72%,"$43,164","$55,996","$43,099","$60,031",-0.05,179,72%,63%,"$45,815","$63,922","$42,329","$67,727",-0.09
